0,1
112,0
2817,1
2929,0
5664,1
5776,0
5787,1
5793,0
8506,1
8618,0
10888,1
11000,0
11343,1
11455,0
13725,1
13837,0
14180,1
14292,0
14303,1
14309,0
16572,1
16684,0
16695,1
16701,0
17022,1
17134,0
17243,1
17355,0
18241,1
18353,0
18459,1
18571,0
19424,1
19536,0
19869,1
19981,0
20070,1
20182,0
21068,1
21180,0
21326,1
21438,0
22241,1
22353,0
22736,1
22848,0
22859,1
22865,0
22917,1
23029,0
23040,1
23046,0
23885,1
23997,0
24008,1
24014,0
24153,1
24265,0
24276,1
24282,0
25068,1
25180,0
25191,1
25197,0
25598,1
25710,0
25779,1
25891,0
26757,1
26869,0
27025,1
27137,0
27930,1
28042,0
28415,1
28527,0
28596,1
28708,0
29584,1
29696,0
29852,1
29964,0
30757,1
30869,0
31282,1
31394,0
31405,1
31411,0
31423,1
31535,0
31546,1
31552,0
32421,1
32533,0
32544,1
32550,0
32669,1
32781,0
32792,1
32798,0
33584,1
33696,0
33707,1
33713,0
34154,1
34265,2
34266,1
34377,0
35273,1
35385,0
35521,1
35633,0
36456,1
36568,0
36971,1
37083,0
37092,1
37204,0
38100,1
38212,0
38338,1
38450,0
39323,1
39435,0
39818,1
39929,2
39930,1
39941,2
39947,1
40041,0
40052,1
40058,0
40937,1
41049,0
41060,1
41066,0
41185,1
41297,0
41308,1
41314,0
42170,1
42282,0
42293,1
42299,0
42670,1
42771,2
42782,1
42883,0
43779,1
43891,0
44037,1
44149,0
45062,1
45174,0
45517,1
45588,2
45629,1
45700,0
46606,1
46718,0
46854,1
46966,0
47899,1
48011,0
48354,1
48425,2
48466,1
48477,2
48483,1
48537,0
48548,1
48554,0
49433,1
49545,0
49556,1
49562,0
49671,1
49783,0
49794,1
49800,0
50766,1
50878,0
50889,1
50895,0
51226,1
51297,2
51338,1
51338,0
51339,1
51451,0
52275,1
52387,0
52533,1
52645,0
53618,1
53730,0
55296,1
55338,2
55408,1
55450,0
56262,1
56374,0
56510,1
56622,0
58060,1
58143,2
58172,1
58175,2
58255,1
58266,2
58272,1
58287,0
58298,1
58304,0
59089,1
59201,0
59212,1
59218,0
59337,1
59449,0
59460,1
59466,0
60907,1
60985,2
61019,1
61030,2
61036,1
61037,2
61097,1
61149,0
61951,1
62063,0
62209,1
62305,2
62321,1
62417,0
62505,1
62617,0
62746,1
62858,0
63011,1
63123,0
63407,1
63519,0
63749,1
63816,2
63832,3
63861,2
63884,3
63928,2
63944,1
63996,0
64673,1
64768,2
64785,1
64872,2
64880,1
64923,2
64984,1
65035,0
65162,1
65274,0
65309,1
65342,2
65421,1
65454,0
65465,1
65471,0
65540,1
65573,2
65652,1
65685,0
65838,1
65904,2
65950,1
66016,0
66234,1
66346,0
66455,1
66566,2
66567,1
66633,2
66649,3
66678,2
66731,3
66745,2
66761,1
66772,2
66778,1
66831,2
66843,1
66854,2
66860,1
66943,0
67058,1
67170,0
67452,1
67500,2
67564,1
67585,2
67612,1
67697,0
67699,1
67708,2
67714,1
67760,2
67811,1
67872,0
67979,1
